time,n_infected,prop_ever_infected,prop_currently_infected,n_recovered,prop_recovered,b_cxn_peers,b_cxn_total,b_cxn_symp,iter
27.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
28.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
29.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
30.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
31.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
32.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
33.0,0.0,0.008143322475570033,0.0,5.0,1.0,-0.5,-5.0,-1.5,2
200.0,0.0,0.008143322475570033,0.0,5.0,1.0,-0.5,-5.0,-1.5,2
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-5.0,-2.0,1
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
7.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
8.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
9.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
10.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
11.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
12.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
13.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,1
14.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-5.0,-2.0,1
200.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-5.0,-2.0,1
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-5.0,-2.0,2
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
7.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-2.0,2
